"id","title","description","availability","condition","price","link","image_link","brand"
"CBK-SHP-011","ชิโอะปังวิปครีมฝอยทอง — ShioPan - Foi Thong Whipped Cream","ชิโอะปังวิปครีมฝอยทอง ผสมผสานเบเกอรี่กับขนมไทยในรสหวานหอม","in stock","new","69.00 THB","https://candybaked.ogenicchocolate.com/products/foi-thong-whipped-cream.html","https://candybaked.ogenicchocolate.com/assets/bakery/11-foi-thong-whipped-cream.jpg","Candy Baked Factory"
"CBK-SHP-012","ชิโอะปังนูเทลล่ากล้วย — ShioPan - Nutella Banana","ชิโอะปังนูเทลล่าและกล้วย คู่รสคลาสสิกที่ให้ความเข้มข้นและความหวานจากผลไม้","in stock","new","69.00 THB","https://candybaked.ogenicchocolate.com/products/nutella-banana.html","https://candybaked.ogenicchocolate.com/assets/bakery/12-nutella-banana.jpg","Candy Baked Factory"
"CBK-SHP-013","ชิโอะปังวิปครีมบลูเบอร์รี — ShioPan - Blueberry Whipped Cream","ชิโอะปังวิปครีมบลูเบอร์รี หอมผลไม้และมีรสหวานอมเปรี้ยว","in stock","new","69.00 THB","https://candybaked.ogenicchocolate.com/products/blueberry-whipped-cream.html","https://candybaked.ogenicchocolate.com/assets/bakery/13-blueberry-whipped-cream.jpg","Candy Baked Factory"
"CBK-SHP-014","ชิโอะปังดาร์กช็อกโกแลต — ShioPan - Dark Chocolate","ชิโอะปังเคลือบดาร์กช็อกโกแลต สำหรับคนชอบรสช็อกโกแลตเข้ม","in stock","new","69.00 THB","https://candybaked.ogenicchocolate.com/products/dark-chocolate.html","https://candybaked.ogenicchocolate.com/assets/bakery/14-dark-chocolate.jpg","Candy Baked Factory"
"CBK-SHP-015","ชิโอะปังดาร์กช็อกโกแลตอัลมอนด์ — ShioPan - Dark Chocolate Almond","ชิโอะปังเคลือบดาร์กช็อกโกแลต โรยอัลมอนด์ เพิ่มความหอมมันและกรุบกรอบ","in stock","new","69.00 THB","https://candybaked.ogenicchocolate.com/products/dark-chocolate-almond.html","https://candybaked.ogenicchocolate.com/assets/bakery/15-dark-chocolate-almond.jpg","Candy Baked Factory"
"CBK-CHK-016","ชีสเค้กหน้าไหม้ ออริจินอล — Burnt Cheesecake - Original","ชีสเค้กหน้าไหม้ ออริจินอล เนื้อชีสเค้กเข้มข้น ขนาด 60 กรัมต่อชิ้น","in stock","new","69.00 THB","https://candybaked.ogenicchocolate.com/products/burnt-cheesecake-original.html","https://candybaked.ogenicchocolate.com/assets/hero/candy-baked-cover.jpeg","Candy Baked Factory"
"CBK-CHK-017","ชีสเค้กหน้าไหม้ สตรอว์เบอร์รี — Burnt Cheesecake - Strawberry","ชีสเค้กหน้าไหม้ สตรอว์เบอร์รี เนื้อชีสเค้กเข้มข้น ขนาด 60 กรัมต่อชิ้น","in stock","new","69.00 THB","https://candybaked.ogenicchocolate.com/products/burnt-cheesecake-strawberry.html","https://candybaked.ogenicchocolate.com/assets/hero/candy-baked-cover.jpeg","Candy Baked Factory"
"CBK-CHK-018","ชีสเค้กหน้าไหม้ บลูเบอร์รี — Burnt Cheesecake - Blueberry","ชีสเค้กหน้าไหม้ บลูเบอร์รี เนื้อชีสเค้กเข้มข้น ขนาด 60 กรัมต่อชิ้น","in stock","new","69.00 THB","https://candybaked.ogenicchocolate.com/products/burnt-cheesecake-blueberry.html","https://candybaked.ogenicchocolate.com/assets/hero/candy-baked-cover.jpeg","Candy Baked Factory"
"CBK-CHK-019","ชีสเค้กหน้าไหม้ นูเทลล่ากล้วย — Burnt Cheesecake - Nutella Banana","ชีสเค้กหน้าไหม้ นูเทลล่ากล้วย เนื้อชีสเค้กเข้มข้น ขนาด 60 กรัมต่อชิ้น","in stock","new","69.00 THB","https://candybaked.ogenicchocolate.com/products/burnt-cheesecake-nutella-banana.html","https://candybaked.ogenicchocolate.com/assets/hero/candy-baked-cover.jpeg","Candy Baked Factory"
"CBK-CHK-020","ชีสเค้กหน้าไหม้ วิปครีมโอรีโอ้ — Burnt Cheesecake - Oreo Whipped Cream","ชีสเค้กหน้าไหม้ วิปครีมโอรีโอ้ เนื้อชีสเค้กเข้มข้น ขนาด 60 กรัมต่อชิ้น","in stock","new","69.00 THB","https://candybaked.ogenicchocolate.com/products/burnt-cheesecake-oreo-whipped-cream.html","https://candybaked.ogenicchocolate.com/assets/hero/candy-baked-cover.jpeg","Candy Baked Factory"
